protein_ID	D_3_logFC_23	D_5_logFC_23	D_7_logFC_23	D_9_logFC_23	D_11_logFC_23	D_13_logFC_23	D_3_ChiSq.pval_23	D_5_ChiSq.pval_23	D_7_ChiSq.pval_23	D_9_ChiSq.pval_23	D_11_ChiSq.pval_23	D_13_ChiSq.pval_23	D_3_adj.ChiSq.pval_23	D_5_adj.ChiSq.pval_23	D_7_adj.ChiSq.pval_23	D_9_adj.ChiSq.pval_23	D_11_adj.ChiSq.pval_23	D_13_adj.ChiSq.pval_23	D_3_logFC_93	D_5_logFC_93	D_7_logFC_93	D_9_logFC_93	D_11_logFC_93	D_13_logFC_93	D_3_ChiSq.pval_93	D_5_ChiSq.pval_93	D_7_ChiSq.pval_93	D_9_ChiSq.pval_93	D_11_ChiSq.pval_93	D_13_ChiSq.pval_93	D_3_adj.ChiSq.pval_93	D_5_adj.ChiSq.pval_93	D_7_adj.ChiSq.pval_93	D_9_adj.ChiSq.pval_93	D_11_adj.ChiSq.pval_93	D_13_adj.ChiSq.pval_93	D_3_logFC_92	D_5_logFC_92	D_7_logFC_92	D_9_logFC_92	D_11_logFC_92	D_13_logFC_92	D_3_ChiSq.pval_92	D_5_ChiSq.pval_92	D_7_ChiSq.pval_92	D_9_ChiSq.pval_92	D_11_ChiSq.pval_92	D_13_ChiSq.pval_92	D_3_adj.ChiSq.pval_92	D_5_adj.ChiSq.pval_92	D_7_adj.ChiSq.pval_92	D_9_adj.ChiSq.pval_92	D_11_adj.ChiSq.pval_92	D_13_adj.ChiSq.pval_92	Protein_fams	method_2v3	method_9v3	gene
CHOYP_ABCE1.1.2.m.7437	0.460546288689425	-0.0569717442464137	-0.0219395472725861	0.153598461729993	-1.75444146039961	-0.348438579128946	0.144587775215641	0.843034744627474	0.938477920735402	0.628085679538005	0.00123465863496829	0.399430031995425	0.972056752910786	0.971021389430923	0.997624329922123	0.940454783919857	0.083187655569175	0.915324501700265	0.541628814114814	-0.362253490401924	-0.0638570220753554	0.237327217343809	-0.187932216316431	-0.276078053267865	0.0790607393083375	0.234355037854907	0.831002383456476	0.425512195979388	0.496978777690706	0.400687207205947	0.984989502740723	0.972950340445907	0.956980358091188	0.984101433466036	0.999070601710657	0.939741910187518	0.0810825254253889	-0.305281746155511	-0.0419174748027693	0.0837287556138158	1.56650924408317	0.0723605258610815	0.779981416606435	0.331065990602417	0.889074236652403	0.785809524986846	0.00467332191184172	0.859693315669837	0.98339252255286	0.999460485406158	0.957143309925013	0.936928099947709	0.192170962659442	0.969231647783554	ABC transporter superfamily, ABCE family	PropTest	NA	ABCE1
CHOYP_ACAA2.1.1.m.30666	-0.212163855387766	-0.194841829655156	-0.269559613716416	0.0242357180551078	-1.70381538732964	-1.08651779360586	0.432820878870777	0.462082950774286	0.295700116801519	0.931769981738471	0.000401877183117437	0.0111182187391597	0.972056752910786	0.971021389430923	0.997624329922123	0.966894670166965	0.0365001895533074	0.915324501700265	0.116731652060444	0.288070673489137	-0.1638194653501	0.239315770437264	-0.471861846461575	0.135009173530736	0.643238659913795	0.235472861725049	0.536019774811919	0.356020521317923	0.0709574816615917	0.618331654705568	0.984989502740723	0.972950340445907	0.956980358091188	0.984101433466036	0.999070601710657	0.939741910187518	0.328895507448211	0.482912503144292	0.105740148366317	0.215080052382156	1.23195354086806	1.2215269671366	0.218788934602938	0.0615695542797084	0.702176878793718	0.434188584378852	0.0147577629849983	0.0029176246403065	0.98339252255286	0.999460485406158	0.957143309925013	0.936928099947709	0.352701079195669	0.151790345210882	Thiolase family	PropTestASCA	NA	THIM
CHOYP_ACT.23.27.m.58454	-0.176478465865242	0.118235925276587	-0.186570249045385	-0.0175076245436445	0.00761511472943077	-0.255138958501329	0.243048879452852	0.446131185270201	0.263156664822778	0.923762209735614	0.970301852490544	0.192882082092677	0.972056752910786	0.971021389430923	0.997624329922123	0.966894670166965	0.981635990422128	0.915324501700265	-0.000238707399512705	-0.0503094840871841	0.271065332630692	0.339616048509687	0.0635866992180034	0.24430440829919	0.998683877313628	0.75326567414494	0.0906326428883173	0.0376763275911701	0.679938554956298	0.0962737008201202	0.998926925227308	0.972950340445907	0.956980358091188	0.984101433466036	0.999070601710657	0.939741910187518	0.176239758465729	-0.168545409363771	0.457635581676077	0.357123673053332	0.0559715844885726	0.499443366800518	0.247467466147787	0.29400566142997	0.00566854277879032	0.041368955259872	0.78296410798413	0.00634210306658315	0.98339252255286	0.999460485406158	0.658131596188874	0.936928099947709	0.893527403297652	0.255549447094674	Actin family	ASCA	ASCAclustering	ACT.23.27.m.58454
CHOYP_ACT.4.27.m.14034	0.331544233505503	0.292470345545228	-0.233976258935944	0.730983555736252	0.846381695230842	0.566642414133202	0.0928257376792902	0.13871777386551	0.197928294526969	0.000192424779385159	4.17997252504808e-05	0.00261240646039895	0.972056752910786	0.971021389430923	0.997624329922123	0.121671668195847	0.00701211717467249	0.397666316749618	0.303928890884903	0.331985066510541	0.157460445749704	0.611775918058878	0.0971591103905594	-0.0220138009386242	0.121314574381315	0.0906539994933147	0.37312844765065	0.00146531620626852	0.607980052841094	0.899697529188977	0.984989502740723	0.972950340445907	0.956980358091188	0.293778029647005	0.999070601710657	0.955492724797596	-0.0276153426206003	0.0395147209653128	0.391436704685648	-0.119207637677374	-0.749222584840282	-0.588656215071826	0.883797657142741	0.83645619661587	0.0333222155592789	0.505523151291038	0.000244535332048479	0.000928913286729053	0.98339252255286	0.999460485406158	0.957143309925013	0.936928099947709	0.020938337806651	0.0657397694905615	Actin family	PropTest	NA	ACTC
CHOYP_ACT.5.27.m.15585	-0.0816733404681553	0.115354314011345	-0.0335678760894407	0.139240617565804	-0.270772099996478	-1.08716401759915	0.290353196888565	0.141931339119031	0.664354456250436	0.110948474077889	0.0168552065103319	1.62958604984906e-20	0.972056752910786	0.971021389430923	0.997624329922123	0.940454783919857	0.449355839051313	1.33951973297593e-16	0.0525802658441634	-0.205737474452883	-0.568760424501301	0.223932737737879	0.15617962420276	0.0688216633100271	0.480525581825001	0.0135614042886248	2.24562920091717e-10	0.00632122681782401	0.0464182200390257	0.357638194698161	0.984989502740723	0.972950340445907	6.15302401051306e-07	0.65949693885174	0.999070601710657	0.939741910187518	0.134253606312319	-0.321091788464228	-0.53519254841186	0.0846921201720754	0.426951724199238	1.15598568090917	0.0820183208368136	0.000122313676066589	2.94599732044485e-09	0.319315831359596	0.000129162809888032	1.56697457822e-24	0.98339252255286	0.0914016742970328	1.37555653465886e-05	0.936928099947709	0.0127917867142123	6.44026551648418e-21	Actin family	PropTest	PropTestASCAclustering	ACT.5.27.m.15585
CHOYP_ACT1.4.7.m.29125	0.188783988970957	0.258804123659353	-0.258978744573435	0.527705696953955	1.13935760009696	0.634283429439217	0.154600651369682	0.0502373417125292	0.0402650211814723	2.8013781884127e-05	1.60807755838001e-17	5.67073742288986e-07	0.972056752910786	0.971021389430923	0.997624329922123	0.0230273287087524	1.32183975298837e-13	0.000466134616161546	0.118041746888258	0.48174148559553	0.128788055867041	0.122724095703953	-0.00237656316035473	-0.0655110673282078	0.374136810407441	0.000151469457437017	0.29480992217093	0.342971819990319	0.985798669425995	0.585356522694151	0.984989502740723	0.207513156688713	0.956980358091188	0.984101433466036	0.999070601710657	0.939741910187518	-0.0707422420826989	0.222937361936176	0.387766800440476	-0.404981601250002	-1.14173416325732	-0.699794496767424	0.589572482879616	0.0741249168077649	0.00253094574585963	0.00115829375783544	1.36842852379157e-17	5.83189638800483e-09	0.98339252255286	0.999460485406158	0.407928902567963	0.206982058465376	3.7494941551889e-14	4.35801711903634e-06	Actin family	PropTest	NA	ACT1
CHOYP_ACT3.1.3.m.23292	0.110764437784374	0.00830011278169618	-0.0808026217829569	-0.0263150405269617	0.0407519295699075	-0.107007169138817	0.337984991626166	0.945914972286779	0.49304346161136	0.844736280755535	0.802461434152369	0.493269446852528	0.972056752910786	0.971021389430923	0.997624329922123	0.940454783919857	0.896867083510058	0.915324501700265	-0.0158091877271644	-0.145351081282381	-0.315162135327044	0.204354987577215	0.278691765503702	0.440748030318766	0.892421721818401	0.248248339972219	0.0144689732809297	0.0955844873306515	0.019496575783241	0.000176506944409752	0.984989502740723	0.972950340445907	0.956980358091188	0.984101433466036	0.999070601710657	0.0558033493480063	-0.126573625511538	-0.153651194064077	-0.234359513544087	0.230670028104177	0.237939835933794	0.547755199457583	0.279108200961141	0.232271000604728	0.072752170990412	0.0788311687452317	0.133020000067281	0.000118614965762336	0.98339252255286	0.999460485406158	0.957143309925013	0.936928099947709	0.74375989096669	0.0139304566587807	Actin family	NA	PropTest	ACT3
CHOYP_ACTC.3.6.m.21571	0.0978524312564328	0.242060859824778	-0.226098613232022	0.355319595374091	0.705575548808064	0.402229391855991	0.45089003931211	0.0610163692726224	0.0668809986493772	0.00478170745409313	5.74162210156545e-07	0.00307975756471171	0.972056752910786	0.971021389430923	0.997624329922123	0.940454783919857	0.000188753210360534	0.45206441396304	0.146294700666357	0.314631499760272	0.111627504708858	0.155417556832317	0.0956555198001725	0.0495683298656076	0.250354078103085	0.013667094139374	0.357117432660644	0.21233436470051	0.444952909872748	0.681079403315347	0.984989502740723	0.972950340445907	0.956980358091188	0.984101433466036	0.999070601710657	0.939741910187518	0.0484422694099242	0.0725706399354937	0.33772611794088	-0.199902038541774	-0.609920029007892	-0.352661061990384	0.704465254974092	0.563287258272183	0.00731827921891178	0.106776887992416	1.2483984760413e-05	0.00576531353714743	0.98339252255286	0.999460485406158	0.786525808901358	0.936928099947709	0.00165513475371928	0.241790190180367	Actin family	PropTest	NA	ACT.3.6.m.21571
CHOYP_ADD.3.5.m.17639	0.0404487449595159	-0.0602064878457149	-0.0708871529178738	0.119822976391641	0.108557609494591	0.269263120116208	0.861889106411018	0.804038118337362	0.763482176228423	0.608178324552774	0.706473673127759	0.30297601738206	0.972056752910786	0.971021389430923	0.997624329922123	0.940454783919857	0.896867083510058	0.915324501700265	0.121901144772494	0.182181203736622	0.281259480769178	0.187203737917973	0.163633388278575	-0.0305052618322632	0.59064110329413	0.432890346915921	0.222555217454657	0.394828745286109	0.454738887947094	0.893729051254265	0.984989502740723	0.972950340445907	0.956980358091188	0.984101433466036	0.999070601710657	0.949399431546919	0.0814523998129779	0.242387691582337	0.352146633687052	0.0673807615263327	0.0550757787839835	-0.299768381948471	0.722925040160131	0.314381535686304	0.131614123911414	0.768465586399749	0.845953334899869	0.228142093325747	0.98339252255286	0.999460485406158	0.957143309925013	0.936928099947709	0.893527403297652	0.830890921321349	Aldolase class II family, Adducin subfamily	NA	ASCA	HTS
CHOYP_AKD1.2.3.m.49697	-1.51930473327752	-0.731142211676723	0.0674753735611544	0.875115656807536	-0.118852886608481	-0.768341833579606	2.91392117370192e-05	0.153451319886851	0.872632702726908	0.0870185076770601	0.903116059252151	0.35600602818254	0.00647363028319724	0.971021389430923	0.997624329922123	0.940454783919857	0.926099551778029	0.915324501700265	-1.51007249287181	0.00720297456802488	0.244265273286977	-0.64753707193471	0.319551531727007	-0.526056306276212	2.30365790998136e-05	0.98710561914658	0.56535082246041	0.313792896958531	0.639834705352768	0.401353332305383	0.00350667926297163	0.993513501825227	0.956980358091188	0.984101433466036	0.999070601710657	0.939741910187518	0.00923224040571125	0.738345186244748	0.176789899725822	-1.52265272874225	0.438404418335489	0.242285527303394	0.984061717743969	0.156476298170719	0.674292046478418	0.00873600035177642	0.643061022386426	0.776246060787929	0.987786948327687	0.999460485406158	0.957143309925013	0.624434112100888	0.858299234016251	0.932311896504497	Adenylate kinase family	PropTest	PropTest	KAD9.2.3.m.49697
