protein_ID,D_3_adj.ChiSq.pval,D_3_ChiSq.pval,D_3_logFC,D_5_adj.ChiSq.pval,D_5_ChiSq.pval,D_5_logFC,D_7_adj.ChiSq.pval,D_7_ChiSq.pval,D_7_logFC,D_9_adj.ChiSq.pval,D_9_ChiSq.pval,D_9_logFC,D_11_adj.ChiSq.pval,D_11_ChiSq.pval,D_11_logFC,D_13_adj.ChiSq.pval,D_13_ChiSq.pval,D_13_logFC,Entry,Entry_name,evalue,type
CHOYP_ACT.5.27.m.15585,0.979445546193914,0.49246622763317,0.0511322850154663,0.967036679485888,0.00977840567710385,-0.215138417616673,1.75836482358296e-07,6.6328359999357e-11,-0.584610196639161,0.779297472465954,0.00715311398088956,0.220425832732836,0.998682844793179,0.0466275939694367,0.155939223221216,0.958428402785477,0.203786393291684,0.09502210868866,Q26065,ACT_PLAMG,0.0,protein
CHOYP_ACT.6.27.m.15622,0.979445546193914,0.530327364727272,0.0581672336143058,0.967036679485888,0.0166544758915594,-0.23866919190187,3.23764564902092e-08,8.14194806744855e-12,-0.742293199156566,0.979180442953242,0.114266520323828,0.149640268699727,0.998682844793179,0.185411110406642,0.122373437027631,0.958428402785477,0.137768639789774,-0.133693010099286,Q92193,ACT_CRAVI,7.87e-178,protein
CHOYP_ACT3.1.3.m.23292,0.979445546193914,0.883943140979452,-0.0170366182903328,0.967036679485888,0.219610046658675,-0.154237140880786,0.949671592008509,0.0101996664073907,-0.330356676347578,0.979180442953242,0.101279747942633,0.200578930226997,0.998682844793179,0.019718466933476,0.27772632521242,0.0278822177493127,7.36233588250431e-05,0.464864003841803,P41340,ACT3_LIMPO,0.0,protein
CHOYP_AGAP_AGAP011617.1.2.m.29071,0.00895995962870972,7.0976670012412e-05,0.841964465944312,0.967036679485888,0.180723941792416,0.216662223554658,0.949671592008509,0.218535638728411,0.216134427297615,0.979180442953242,0.44737190585067,-0.128418961674429,0.998682844793179,0.19799713218541,0.230279162809961,0.958428402785477,0.103403920299928,0.318380930952417,Q01133,FMRA_CALPA,0.14,protein
CHOYP_AKD1.2.3.m.49697,0.00443512704028568,2.89986930837238e-05,-1.46537609272,0.997011995802902,0.993630030348208,0.00347607674022932,0.949671592008509,0.585518178426564,0.226860833890674,0.979180442953242,0.336951172158329,-0.587756559976009,0.998682844793179,0.657373645643105,0.287125023214671,0.958428402785477,0.416205458271523,-0.487269684892938,Q5TCS8,KAD9_HUMAN,0.0,protein
CHOYP_AKD1.3.3.m.63103,0.00735435582087548,5.270945326165e-05,-1.39826189686147,0.9874483023198,0.972388210018958,0.0144263763007695,0.949671592008509,0.673278520299666,0.170277305524307,0.979180442953242,0.208404940136511,-0.715861385723695,0.998682844793179,0.222174368494026,0.734584000185892,0.958428402785477,0.300055769379695,-0.584131224145527,Q5TCS8,KAD9_HUMAN,0.0,protein
CHOYP_BRAFLDRAFT_100695.1.1.m.47761,0.0855117317828399,0.00108596566202274,-1.27273101477761,0.967036679485888,0.798071391460317,0.134720610018482,0.949671592008509,0.499254518389973,-0.325680189138105,0.979180442953242,0.208404940136511,-0.715861385723695,0.998682844793179,0.16459962242609,-1.17230659542263,0.958428402785477,0.192672337444564,1.44561611924853,Q2T9T0,PPR32_BOVIN,1.07e-67,protein
CHOYP_BRAFLDRAFT_103544.1.1.m.38439,0.000626665089178124,2.18881236527488e-06,3.80408458227322,0.967036679485888,0.0631097375073041,0.665235326717261,0.949671592008509,0.747220282126664,-0.0891666595570042,0.979180442953242,0.355581660897272,0.245593570614539,0.998682844793179,0.931274862202935,0.0236136145526302,0.958428402785477,0.585090568230181,0.149761535971056,P0C6B8,SVEP1_RAT,1.07e-149,protein
CHOYP_BRAFLDRAFT_117858.3.3.m.61651,0.00782906241905379,5.70961423745907e-05,-1.91427704386513,0.967036679485888,0.753729713529902,-0.227849469366226,0.958550978126798,0.889489025345878,-0.0950672609966885,0.979180442953242,0.563183983805041,-0.535289140081874,0.998682844793179,0.737009362993023,-0.324309688867677,0.978007666549162,0.967186004955257,-0.0398107079217165,Q5PPV2,TEKT4_XENLA,1.77e-149,protein
CHOYP_BRAFLDRAFT_118602.2.5.m.17419,0.979445546193914,0.0437272946509826,0.481308092747539,0.967036679485888,0.761483287094296,-0.0669132511511688,0.949671592008509,0.323926230190859,-0.21082540433337,0.668527940144473,0.00571606939894684,0.620422002140738,0.0374962127064445,1.41441768036381e-05,0.849519767030551,9.45738896213427e-07,7.13495960930537e-10,1.31472205239757,Q2PC93,SSPO_CHICK,6.90e-177,protein
